,Job_name,Company_name
104, Riyaziyyat müəllimi (Həzi Aslanov filialı) ,  Celt Colleges 
105, Satış təmsilçisi (Bakı və Lənkəran) , O OMİD Mağazalar şəbəkəsi 
106, Satış və kredit bölməsində aparıcı mütəxəssis ,  Azersun Holding 
107, Procurement Leading Specialist , C Company 
108, Çağrı mərkəzi üzrə Satış Mütəxəssisi , 1 166 Yükdaşıma və Logistika 
109, Xadimə , N Nurgun Holding 
110, Təchizat üzrə baş mütəxəssis , A Alliance Property Management Group 
111, Daxili audit və nəzarət şöbəsinin baş mütəxəssisi ,  Azerbaijan Energy Regulatory Agency 
112, Təchizatçıların idarə edilməsi üzrə mütəxəssis ,  Facility Management Group 
113, Marketing Manager ,  Chint Group 
114, Layihəçi mühəndis – Konstruktor , B BRPG LLC 
115, Kiçik Auditor ,  LU - MUN Holding 
116, Topoqraf , A Azconstruction QSC 
117, Mühasib , R Referans CLC 
118, İnsan resursları üzrə kiçik auditor ,  Azersun Holding 
119, English teacher ,  Celt Colleges 
120, Security Guard , E Embassy of India 
121, Software Tester ,  Ateshgah Sigorta 
122, Maliyyə analtiki (Xərclər üzrə) ,  OBA marketlər şəbəkəsi 
123, Müştəri xidmətləri üzrə mütəxəssis , E eTopaz 
124, Primary Music Teacher , H Heydər Əliyev adına Müasir Təhsil Kompleksi 
125, Spanish language teacher ,  European Azerbaijan School 
126, Fəhlə , O OMİD Mağazalar şəbəkəsi 
127, Zərərlərin qiymətləndirilməsi və təmir üzrə kiçik mütəxəssis/assistent ,  PASHA Insurance 
128, Satış meneceri , A Azpride Group 
129, Assistans mərkəzinin kiçik eksperti/assistenti ,  PASHA Insurance 
130, HSE Coordinator , C Company 
131, Maliyyə Direktorunun Assistenti ,  Azersun Holding 
132, Tenderlər üzrə mütəxəssis , R Ricon MMC 
133, Document controller ,  Sofcon Group 
134, İnfrastruktur və Biznes Sistemləri üzrə Sistem Administratoru ,  PASHA Bank 
135, Официант , M Myata Platinum Baku 
136, YÖS müəllimi ,  Puza Academy 
137, Senior Corporate Communications Specialist ,  Bakcell 
138, Директор Филиала ,  Selhome Group 
139, Risklərin idarə edilməsi departamentinin Bazar riskləri və risk hesabatlığı şöbəsinin baş mütəxəssisi ,  Kapital Bank 
140, İnspektor ,  SGS 
141, Мангальщик ,  Restaurants by Emin Agalarov 
142, Кальянный Мастер , M Myata Platinum Baku 
143, İstehsalat üzrə mühasib , C Company 
144, Marketing and research coordinator , C Company 
145, Бухгалтер ,  ASBC MMC (Торговая марка iSpace) 
146, SAT (Verbal) proqramı üzrə müəllim assistenti ,  StudyLab 
147, Procurement Assistant ,  Terra Pharm 
148, HR Coordinator , K Khazar Engineering 
149, Riyaziyyat müəllimi (ingilis bölməsi) ,  EDUSTUDIO 
150, Story Manager ,  By Telecom 
151, Project manager , C Company 
152, Повар холодного цеха ,  Restaurants by Emin Agalarov 
153, Java developer (middle) ,  Express Bank 
154, Aparıcı memar ,  PMD Projects LLC 
155, Mağaza Rəhbəri ,  PRİME Accessories Mağazalar Şəbəkəsi 
156, Contracts specialist ,  Socar Polymer 
157, Xarici satınalma üzrə qrup rəhbəri , U Universal Group of Companies 
158, Finance Controlling Specialist ,  Carlsberg Azerbaijan 
159, Senior Marketing Specialist ,  ELIT.EO 
160, Baş mühasib , C Company 
161, İşə Qəbul üzrə Mütəxəssis ,  Aztelekom 
162, Maliyyə auditi , A Avromak MMC 
163, Layihə koordinatoru , Q Qartal Tikinti Firması 
164, Marketinq üzrə Assistent ,  PASHA Bank 
165, Maliyyə üzrə böyük mütəxəssis , U Universal Group of Companies 
166, Менеджер по продажам , L Lavazza 
167, Şəbəkə üzrə İKT Mütəxəssisi ,  PMD Projects LLC 
168, Учитель Физики (Русский сектор) , H Heydər Əliyev adına Müasir Təhsil Kompleksi 
169, SMM mütəxəssisi , S Social Lab 
170, Mühasib-operator (Lənkəran) , A A+Co ASC 
171, 1C специалист , I INEO Group 
172, Sales Representative (Business Development) , I International Energy Company 
173, Peyk mühəndisliyi qrupunda kiçik mühəndis ,  Azercosmos 
174, Mühasib (Şuşa) ,  Kristal Abşeron 
175, Stomatologiya üzrə tibbi nümayəndə , M Modern Pharm 
176, Büdcə və hesabatlıq üzrə aparıcı mütəxəssis ,  Dövlət qurumu 
177, Konsert təşkilatçısı , R Resant Group 
178, Консультант , G Gəlinim Wedding Boutique 
179, Satış meneceri , S Strix 
180, Audit Intern , E Ekvita 
181, Satıcı ,  NOVCO Group of Companies 
182, Sürücü ,  AEM Elektron 
183, Accountant ,  Engin 
184, Mikro və Aqro Müştərilər üzrə Təcrübəçi (Sumqayıt) ,  Access Bank 
185, HR asisstant , A Asthetiklab 
186, Büdcə və xərclər üzrə nəzarətçi , S Star Mining LLC 
187, Avtomatlaşdırma və elektronika üzrə aparıcı mühəndis ,  PMD Projects LLC 
188, Mexanika mühəndisi ,  PMD Projects LLC 
189, Менеджер по оптовым продажам (Корпоративные продажи) , A Askona 
190, Учитель истории , H Heydər Əliyev adına Müasir Təhsil Kompleksi 
191, Медицинский представитель , N Novartis Pharma Services AG 
192, Təcrübə proqramı , G GL ASC 
193, Çoçuk bakıcısı , C Company 
194, Учитель Биологии , H Heydər Əliyev adına Müasir Təhsil Kompleksi 
195, Aparıcı elektrik mühəndisi ,  PMD Projects LLC 
